ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
Minnesota Music Coalition,Performing Arts,"$158,780","13,350",350,75 5th St W,,Saint Paul,55102,Ramsey,MN
Rose Ensemble,Performing Arts,"$929,255","11,200","1,200",75 5th St W,,Saint Paul,55102-1423,Ramsey,MN
Twin Cities Catalyst Music,Performing Arts,"$218,178","2,750","1,950",75 Civic Center Pkwy,,Burnsville,55337,Dakota,MN
Minnesota Landmarks,Other,"$2,029,466","235,000",0,75 W 5th St,,Saint Paul,55102,Ramsey,MN
"Schubert Club, Inc.",Performing Arts,"$2,116,654","30,800","2,800",75 W 5th St,,Saint Paul,55102-7730,Ramsey,MN
American Assn. of Woodturners,Visual Arts & Architecture,"$1,683,911",0,0,75 W 5th St #222,Landmark Center,Saint Paul,,Ramsey,MN
Saint Paul Festival and Heritage Foundation/Saint Paul Winter Carnival,Arts Multipurpose,"$695,821","250,000",,75 West 5th Street,,Saint Paul,55101,Ramsey,MN
Ramsey County Historical Society,History,"$540,961","37,236","16,798",75 West 5th Street #323,,Saint Paul,55102,Ramsey,MN
Preservation Alliance of MN (PAM),History,"$693,642",0,,75 West 5th Street #416,,Saint Paul,55102,Ramsey,MN
Live Action Set,Performing Arts,"$33,000",400,0,750 2nd St S,,Minneapolis,55401,Hennepin,MN
Sisu Heritage Inc. ,History,"$100,136","2,662",150,7503 Levander Road,PO Box 127,Embarrass,55732,Statewide,MN
United Artist Collaborative,Performing Arts,"$25,900",700,100,7518 Edgebrook Dr,PO Box 24071,St. Louis Park,55426,Hennepin,MN
Theater Mu,Performing Arts,"$645,587","10,400","3,400",755 Prior Ave N,,Saint Paul,55104-1038,Ramsey,MN
FoxFire Festivals at the Farm,Arts Multipurpose,"$10,000",440,60,7579 St Mathias Rd,,Brainerd,56401,Crow Wing,MN
Walker West Music Academy,Performing Arts,"$524,705",215,185,760 Selby Ave,,Saint Paul,55104,Ramsey,MN
Walker West Music Academy,Performing Arts,"$524,833 ",3396,,760 Selby Ave.,"St. Paul, MN 55104",Saint Paul,55104-3319,Ramsey,MN
Maia Maiden Productions,Performing Arts,"$24,300",550,220,7614 16th Ave S,,Richfield,55423,Hennepin,MN
Strains New Music Ensemble,Performing Arts,"$7,058",75,20,762 Montana Ave E,,Saint Paul,55106,Ramsey,MN
Eden Prairie Arts Center,Visual Arts & Architecture,"283,316",0,,7650 Equitable Drive,,Eden Praire,55344,,MN
Inverted Arts,Arts Multipurpose,"$135,761",335,85,77 13th Ave NE,,Minneapolis,55413,Hennepin,MN
APIA MN Film Collective,Media & Communications,"$12,500",20,0,7715 Stafford Trl,,Savage,55378,Scott,MN
Aurora St. Anthony Neighborhood Development CorporationHistory Project,History,"$46,300",0,,774 University Avenue,,Saint Paul,55104,Ramsey,MN
Lake Crystal Area Community Band,Performing Arts,"$1,810","3,200",200,776 Humphrey St E,,Lake Crystal,56055,Blue Earth,MN
4ArtSake,Performing Arts,"$12,815",450,50,78 10th St E,,Saint Paul,55101,Ramsey,MN
City of CottonwoodArts Project,Other,"$2,670",720,120,78 W Main St,PO Box 106,Cottonwood,56229,Lyon,MN
Golden Valley Historical Society,History,"$76,340","1,064",0,7800 Golden Valley Road,,Golden Valley,55427,Hennepin,MN
Fair Association of Jackson County,Arts Multipurpose,"$4,000","13,000","8,000",78748 550th Ave ,PO Box 175,Jackson,56143,Jackson,MN
Indigenous Roots Cultural Arts Center,Arts Multipurpose,"$47,042",175,75,788 7th St E,,Saint Paul,55106,Ramsey,MN
Coffee House Press,Literary & Arts,"$1,146,576","135,000",0,79 13th Ave NE,,Minneapolis,55413,Hennepin,MN
Minnesota Fringe Festival,Performing Arts,"$721,036","32,800",800,79 13th Ave NE,,Minneapolis,55413,Hennepin,MN
Great River Shakespeare Festival,Performing Arts,"$960,453","20,300","1,300",79 3rd St E,,Winona,55987,Winona,MN
Minnesota Youth Symphonies,Performing Arts,"$498,959","6,500","1,500",790 Cleveland Ave S,,Saint Paul,55116-1958,Ramsey,MN
Schroeder Area Historical Society,History,"$96,343","8,000",,7932 West Highway 61,PO Box 337,Schroeder,55613,Cook ,MN
Chronofon Productions,Performing Arts,"$24,280",785,35,795 Raymond Ave,,Saint Paul,55114,Ramsey,MN
Comunidades Latinas Unidas en Servicio/CLUESArts Project,Other,"$30,000",700,250,797 7th St E,,Saint Paul,55106,Ramsey,MN
Cook County Historical Society/ Museum,History,"$197,608",0,,8 South Broadway Avenue,PO Box 1293,Grand Marais,55604,Cook ,MN
J.J. Hill Reference Library/ James J Hill Reference Library,Other,"$1,270,530",0,,80 West 4th Street,,Saint Paul,55102,Ramsey,MN
Friends of Bnai Abraham,Performing Arts,"$12,150",565,15,800 9th Ave N,,Virginia,55792,St. Louis,MN
Virginia Area Historical Society/Heritage Museum,History,"$20,970","2,500",0,800 N. 9th Ave.,P. O. Box 736,Virginia,55792,St. Louis,MN
Minnesota Marine Art Museum,Visual Arts & Architecture,"$978,278","34,108","3,793",800 Riverview Dr,,Winona,55987-2272,Winona,MN
Chinese American Association of MN/CAAM Chinese Dance Theater,Performing Arts,"$212,415","10,000","6,000",800 Transfer Rd,,Saint Paul,55114,Ramsey,MN
Minnesota Council on FoundationsHistory Project,History,"$11,360",0,,800 Washington Ave. N,Ste. 703,Minneapolis,55401,Hennepin,MN
PRIME Productions,Performing Arts,"$38,900","1,070",0,8001 Victoria Ln,,Saint Louis Park,55426,Hennepin,MN
Trollwood Performing Arts School/Bluestem Theater/Bluestem Center for the Arts,Performing Arts,"$1,644,187","84,745","33,503",801 50th Ave SW,,Moorhead,56560,Clay,MN
City of NorthfieldArts project,Other,"$12,400","8,500","2,000",801 Washington St,,Northfield,55057,Rice,MN
Northfield Arts and Culture Commission,Other," $6,392 ",0,,801 Washington St,,Northfield,55057-2598,Rice,MN
Washington Elementary SchoolArts Project,Other,"$14,290","1,150",650,802 12th St,,Cloquet,55720,Carlton,MN
Friends of the Orchestra LTD,Performing Arts,"$77,338","1,640",146,803 Cheryl Ave,,Marshall,56258,Lyon,MN
The CenterArts Project,Other,"$387,035","1,900",150,803 Kingwood St,,Brainerd,56401,Crow Wing,MN
Bemidji Participatory Arts Collective,Arts Multipurpose,"$7,998",265,80,8040 Stump Lake Dr NE,,Bemidji,56601,Beltrami,MN
Kanabec County Historical Society,History,"$75,343",,,805 Forest Ave W,,Mora,55051,Kanabec,MN
Christmas Misfits,Performing Arts,"$1,700",52,12,805 Garfield Ave,,North Mankato,56003,Nicollet,MN
Mankato Mosaic Theatre Company,Performing Arts,"$2,737",249,29,805 Garfield Ave,,North Mankato,56003,Nicollet,MN
Minnesota Shorts Play Festival,Performing Arts,"$4,450",329,59,805 Garfield Ave,,North Mankato,56003,Nicollet,MN
Play With Your Food Theater,Performing Arts,"$1,000",55,5,805 Garfield Ave,,North Mankato,56003,Nicollet,MN
Red Willow Arts Coalition,Performing Arts,"$26,400","7,780",780,805 Jane Circle Dr SW,,Alexandria,56308,Douglas,MN
Staples Area Womens Chorus,Performing Arts,"$18,195","2,084",483,805 Prairie Ave NE,,Staples,56479,Wadena,MN
Picnic in the Park Variety Show,Performing Arts,"$5,040",210,60,806 Garfield Ave,,North Mankato,56003,Nicollet,MN
"DLCCC, Inc./Detroit Lakes Community and Cultural Center",Arts Multipurpose,"$584,678","26,505","7,392",806 Summit Ave,,Detroit Lakes,56501-2940,Becker,MN
Bemidji Woodcarvers Club,Visual Arts & Architecture,"$6,527",672,18,807 3rd St SE,,Bemidji,56601,Beltrami,MN
Granite Area Arts Council,Arts Multipurpose,"$34,008","2,000",500,807 Prentice Street,PO Box 111,Granite Falls,56241,Yellow Medicine,MN
Marshall County Historical Society,History,"$44,028",350,50,808 E Johnson Ave,PO Box 103,Warren,56762,Marshall,MN
City of Eden PrairieHistory Project,History,"$14,525",0,,8080 Mitchell,,Eden Prairie,55344,Hennepin,MN
Pope County Historical Society,History,"$154,143",0,,809 S Lakeshore Dr,,Glenwood,56334-9406,Pope,MN
Chatfield Brass Band,Performing Arts,"$8,113","1,040",40,81 Library Ln ,PO Box 578,Chatfield,55923,Fillmore,MN
NWA History Centre,History,"$62,608",0,,"8101 - 34th Avenue South, Suite B-747",,Bloomington,55425,Hennepin,MN
Friends of German Park,Humanities,"$5,900","7,000","2,000",812 S Broadway,,New Ulm,56073,Brown,MN
New Ulm Civil War Commemoration Committee,History,"$2,880",650,100,812 S Broadway St,,New Ulm,56073,Brown,MN
"Cottonwood Area Historical Society/Museum, Remick Art Gallery",History,"$139,763",0,,812-4th Ave,,Windom,56101,Cottonwood,MN
Rockford Area Historical Society,History,"$6,200",0,0,"8131 Bridge Street, PO Box 186",,Rockford,55373,"Hennepin, Pipestone, Ramsey, Wright",MN
Spirit Lake Poetry Series,Literary & Arts,"$9,765",155,5,814 6th St W,,Duluth,55806,St. Louis,MN
PACER CenterHistory Project,History,"$9,981",0,,8161 Normandale Blvd,,Minneapolis,55437,Hennepin,MN
Guthrie Theatre Foundation,Performing Arts,"$29,945,435","370,000","40,000",818 2nd St S,,Minneapolis,55415-1252,Hennepin,MN
"Itasca Community Television, Inc. (ICTV)",Media & Communications,"$351,389",0,0,819 NE 4th Street ,,Grand Rapids,55744,Itasca,MN
Walking Shadow Theatre Company,Performing Arts,"$108,224",930,30,820 36th St E,,Minneapolis,55407-2602,Hennepin,MN
Crookston Civic Music League,Performing Arts,"$27,156",300,,820 Locken Blvd,,Crookston,56716,Polk,MN
The Center for Service Learning and Social Change,Other,"$10,000",280,230,821 22nd Ave N,,Saint Cloud,56302,Stearns,MN
Powderhorn Park Neighborhood AssociationArts Project,Other,"$93,586","18,000","4,500",821 35th St E,,Minneapolis,55407-2102,Hennepin,MN
Le Sueur Henderson Community EducationArts Project,Other,"$1,902",850,600,821 E Ferry St,,Le Sueur,56058,Le Sueur,MN
Wirth Center for the Performing Arts,Performing Arts,"$458,816","4,200","1,230",823 1st St S,,Saint Cloud,56301,Stearns,MN
Boy In Blue Civil War Memorial,Visual Arts & Architecture,"$2,600",500,100,823 2nd St S,,Mankato,56001,Blue Earth,MN
Southern Minnesota Real Big Band,Performing Arts,"$2,750",150,0,823 4th St N,,Saint James,56081,Watonwan,MN
All Black Zine,Literary & Arts,$910,132,17,824 College St W,,Duluth,55811,St. Louis,MN
Pennington County Historical Society/Peder Engelstad Pioneer Village,History,"$53,645",150,50,825 Oakland Park Road,Box 127,Thief River Falls,56701,Pennington,MN
Woodbury Heritage Society/Woodbury Heritage House and Garden,History,"$5,366",0,,8301 Valley Creek Road,,Woodbury,55125,Washington,MN
Celtic Junction Arts Center,Arts Multipurpose,"$20,000",700,100,836 Prior Ave N,,Saint Paul,55104,Ramsey,MN
Irish Fair of Minnesota,Arts Multipurpose,"$685,460","90,000","20,000",836 Prior Ave N,,Saint Paul,55104,Ramsey,MN
The Center for Irish Music,Performing Arts,"$267,629","13,041","4,985",836 Prior Ave N,,Saint Paul,55104,Ramsey,MN
Wildwood Artist Series,Performing Arts,"$31,350","1,250",250,8432 80th St N,,Stillwater,55082,Washington,MN
After Five Womens Vocal Ensemble,Performing Arts,"$1,590",260,10,8437 Savannah Chace,,Eden Prairie,55347-1529,Hennepin,MN
Dawson Boyd Community EducationArts Project,Other,"$4,150",650,300,848 Chestnut St,,Dawson,56232-2224,Lac Qui Parle,MN
Rochester Community EducationArts Project,Other,"$13,000",156,14,851 30th Ave SE,,Rochester,55904,Olmsted,MN
Wabasha County Historical Society,History,"$356,579",0,0,869 3rd Street,PO Box 255,Reads Landing,55968,Wabasha,MN
Buffalo Community Orchestra,Performing Arts,"$18,659",300,50,877 Bison Boulevard ,PO Box 707,Buffalo,55313,Wright,MN
"Sounds of Hope, Ltd.",Performing Arts,"$163,705","5,720","1,020",882 Stryker Ave,,West St Paul,55118,Dakota,MN
Million Artist Movement,Performing Arts,"$41,296",195,45,887 Raymond Ave,,Saint Paul,55114,Ramsey,MN
American Aviation Heritage FoundationHistory Project,History,"$10,000",0,,"8891 Airport Rd NE, #B14",,Blaine,55449-7220,Ramsey,MN
Hayfield Community SchoolsArts Project,Other,"$2,004",350,100,9 6th Ave SE,,Hayfield,55940,Dodge,MN
Suomi Finland 100 Chorus,Performing Arts,"$11,934",400,25,9 St Albans St,,Saint Paul,55105,Ramsey,MN
Twin Cities Flamenco Artists Co op,Performing Arts,"$10,232",490,90,9 W Franklin Ave S,,Minneapolis,55404,Hennepin,MN
Ramsey County 4 HArts Project,Other,"$15,785",270,250,90 Coffey Hall 1420 Eckles Ave,,Saint Paul,55108,Ramsey,MN
Saint Paul Public LibraryHistory Project,History,"$115,611",0,,90 W 4th St,,Saint Paul,55102,Ramsey,MN
Madison Healthcare ServicesArts Project,Other,"$2,884",40,0,900 2nd Ave,,Madison,56256,Lac Qui Parle,MN
"Citizens for Backus / Alexander Baker, Inc./Backus Community Ctr",Arts Multipurpose,"$28,700",890,320,900 5th St,,International Falls,56649,Koochiching,MN
"Bemidji Chorale, Inc.",Performing Arts,"$11,971","1,150",15,900 Bemidji Avenue North,PO Box 1543,Bemidji,56619,Beltrami,MN
Moose Lake Area Historical Society,History,"$5,980","2,800",800,900 Folz Blvd,PO Box 235,Moose Lake,55767,Carlton,MN
Hennepin Theatre Trust,Performing Arts,"$27,073,005","561,900","118,900",900 Hennepin Ave,,Minneapolis,55403,Hennepin,MN
Mankato Area Community Band,Performing Arts,"$8,320","4,067",267,900 Mound Ave,,Mankato,56001,Blue Earth,MN
"Midwest Special Services, Inc.Arts Project",Other,"$15,000",85,10,900 Ocean St,,Saint Paul,55106,Ramsey,MN
Concordia College,Arts Multipurpose,"$39,660","6,655","3,505",901 8th St S,,Moorhead,56562,Clay,MN
Dassel Area Historical Society,History,"$55,161","3,800",300,"901 First Street, PO Box D",,Dassel,55325,Meeker,MN
Friends of the Minnesota Sinfonia,Performing Arts,"$500,012","26,570","12,570",901 N 3rd St,,Minneapolis,55401-1022,Hennepin,MN
"Eyota Days, Inc.",Performing Arts,"$4,020",440,90,9015 20th St SE,,Eyota,55934,Olmsted,MN
Winona Dakota Unity Alliance,Arts Multipurpose,"$57,460","1,700",700,902 E 2nd St. Suite #252,PO Box 393,Winona,55987,Winona,MN
"Wanda Gag Monument Committee, Inc.",Visual Arts & Architecture,"$60,000",351,50,904 Minnesota St N,,New Ulm,56073,Brown,MN
Thursday Musical Inc.,Performing Arts,"$77,897 ",0,,906 W 44th St,Apt 1,Minneapolis,55409,Hennepin,MN
Friends of Way Park,Arts Multipurpose,"$16,005","2,000","1,000",908 1st St W,,Northfield,55057,Rice,MN
Monticello Park and RecreationArts Project,Other,$790,700,200,909 Golf Course Rd,,Monticello,55362,Wright,MN
Sugarloaf Cove Nature Center/Sugarloaf North Shore Stewardship Assn,Other,"$300,608","10,816",0,9096 MN-61,,Schroeder,55613,Cook ,MN
Dispute Resolution CenterArts Project,Other,"$10,000",30,10,91 Arch St E,,Saint Paul,55130,Ramsey,MN
East Polk Heritage Center,History,"$20,000",150,25,910 Hilligoss Blvd SE,PO Box 4,Fosston,56542,Polk,MN
Matchbox Childrens Theatre,Performing Arts,"$35,190",285,150,911 Oakland Ave W,,Austin,55912,Mower,MN
Blue Mound Area Theatre,Performing Arts,"$187,015","5,200",200,912 Cedar St N,,Luverne,56156,Rock,MN
Highpoint Center for Printmaking,Visual Arts & Architecture,"$1,096,615","8,005","5,250",912 Lake St W,,Minneapolis,55408,Hennepin,MN
Edvard Grieg Society,Performing Arts,"$71,127 ",288,,913 Franklin Ave E,,Minneapolis,55404,Hennepin,MN
Downtown Saint Cloud Art Crawl Collaborative,Arts Multipurpose,"$10,325","1,150",150,913 St Germain St W,,Saint Cloud,56301,Stearns,MN
Paramount Center for the Arts,Arts Multipurpose,"$1,880,780","103,200","13,200",913 St Germain St W,,Saint Cloud,56301-3460,Stearns,MN
United Arts of Central Minnesota,Arts Multipurpose,"$144,000","120,000","30,000",913 St Germain St W,,Saint Cloud,56301,Stearns,MN
Minnesota Dance Ensemble,Performing Arts,"$31,510",375,68,913 St Germain St W,,Saint Cloud,56301-3460,Stearns,MN
Youth Chorale of Central Minnesota,Performing Arts,"$85,839","4,156",735,913 St Germain St W,,Saint Cloud,56301,Stearns,MN
Redwood County Historical Society,History,"$112,593",0,,913 West Bridge Street,,Redwood Falls,56283,Redwood,MN
Twin Cities Polish Festival,Arts Multipurpose,"$166,500","28,000",500,9182 Bataan St NE,,Blaine,55449,Anoka,MN
Selby Ave JazzFest,Performing Arts,"$68,780","15,000","2,000",921 Selby Ave,,Saint Paul,55104,Ramsey,MN
Leech Lake Arts League,Visual Arts & Architecture,"$6,495",435,60,9289 Oneida Trl,,Walker,56484,Cass,MN
Barn Quilts of Central Minnesota,Visual Arts & Architecture,"$6,940",210,10,935 7th St NE,,Staples ,56479,Todd,MN
Hmong American Farmers Association(HAFA)History Project,History,"$11,686",0,,941 Lafond Avenue West,Suite 100,Saint Paul,55104,Ramsey,MN
Hmong Museum of Minnesota,Humanities,"$18,247",160,53,941 Lafound Ave,,Saint Paul,55106,Ramsey,MN
Twin Cities Youth Chorale,Performing Arts,"$7,000",900,200,9475 Jefferson Hwy,PO Box 2081,Maple Grove,55311,Hennepin,MN
"Fitzgerald in Saint Paul/F. Scott Fitzgerald House, Summit Terrace",History,"$34,507",0,,950 Hoyt Avenue West,,Saint Paul,55117,Ramsey,MN
"Youth in Jazz, Inc.",Performing Arts,"$53,950","4,150","1,500",950 Scenic Dr,,Shoreview,55126,Ramsey,MN
Minnesota Youth Media,Media & Communications,"$25,175",370,120,952 Linwood Ave,,Saint Paul,55105,Ramsey,MN
Centre Stage Theatre and Arts,Performing Arts,"$12,300","2,525",225,9565 Bennett Pl,PO Box 367,Norwood Young America,55368,Carver,MN
Zumbrota Area Arts Council,Arts Multipurpose,"$43,310","6,392",837,96 4th St E,PO Box 45,Zumbrota,55992,Goodhue,MN
Art of the Rural,Arts Multipurpose,"$12,600",475,75,960 W King St,,Winona,55987,Winona,MN
Norway Lake Lutheran Historical Association,History,"$7,685",850,50,9601 195 AVE NW,,Pennock,56279,Kandiyohi,MN
Roho Collective,Visual Arts & Architecture,"$1,750",15,0,9625 Little Cir,,Bloomington,55437,Hennepin,MN
Milan Village Arts School,Visual Arts & Architecture,"$142,074","2,100",100,97 Washington Ave.,PO Box 230,Milan,56262,Chippewa,MN
Indian Music Society of Minnesota,Performing Arts,"$37,140",650,150,9700 France Ave South,PO Box 581846,Minneapolis,55458,Hennepin,MN
The Works,Other,"$1,228,232","77,000","50,000",9740 Grand Ave S,,Bloomington,55420,Hennepin,MN
East Side Arts Council,Arts Multipurpose,"$241,192","17,000","11,000",977 Payne Ave,,Saint Paul,55130-3901,Ramsey,MN
Artaria String Quartet,Performing Arts,"$146,071","2,905","2,530",980 Bellows St,,West St Paul,55118,Dakota,MN
Combustible Company,Performing Arts,"$25,600",500,0,982 Jessamine Ave E,,Saint Paul,55106,Ramsey,MN
Big Stone County Historical Society/ Museum,History,"$33,800","2,600",0,985 US Hwy 12,,Ortonville,56278,Big Stone,MN
Minnesota Humanities Center,Humanities,"$7,253,271","18,477",0,987 Ivy Avenue East,,Saint Paul,55106,Ramsey,MN
Center for Hmong Arts and Talent,Arts Multipurpose,"$109,765",200,100,995 University Ave,,Saint Paul,55104-4785,Ramsey,MN
Turkish American Association of Minnesota,Performing Arts,"$14,875",305,80,999 50th Ave NE,PO Box 3911,Saint Paul,55101,Ramsey,MN
LAssociation des Francais du Nord,Arts Multipurpose,"$16,650",700,100,Co Road 104,PO Box 101,Red Lake Falls,56750-0101,Red Lake,MN
Hubbard County CommissionersHistory Project,History,"$14,620",0,,County Courthouse,301 Court Street,Park Rapids,56470,Hubbard,MN
Marshall County Agricultural Society,Other,"$4,950","1,075",225,Fairgrounds,PO Box 176,Warren,56762,Marshall,MN
Celebration of a City/Rochester Fest,Arts Multipurpose,"$42,630","2,000",600,George Gibbs Drive SW,PO Box 007,Rochester,55902,Olmsted,MN
Yellow Medicine County Historical Society ,History,"$28,912",600,0,Hwy 23 & 67,,Granite Falls,56241,Yellow Medicine,MN
Minnesota Independent Scholars Forum,History,"$11,150",0,0,Lake Street Station,Box 80235,Bloomington,55408-8235,Statewide,MN
Metropolitan Boys Choir,Performing Arts,"$136,570","2,050",150,PO Box 19348,PO Box 19348,Minneapolis,55419-0348,Hennepin,MN
New London Music Festival,Performing Arts,"$16,140",314,288,Southeast Mill Street 311 2nd Avenue,PO Box 35,New London,56273,Kandiyohi,MN
Cross Community Players,Performing Arts,"$57,585","1,590",490,US-52,PO Box 1135,Maple Grove,55311-6135,Hennepin,MN
